created_at,text,conversation_id,reply_settings,edit_history_tweet_ids,lang,referenced_tweets,possibly_sensitive,id,author_id,entities.annotations,entities.mentions,public_metrics.retweet_count,public_metrics.reply_count,public_metrics.like_count,public_metrics.quote_count,public_metrics.bookmark_count,public_metrics.impression_count,edit_controls.edits_remaining,edit_controls.is_edit_eligible,edit_controls.editable_until,entities.urls,attachments.media_keys,entities.hashtags,in_reply_to_user_id,attachments.media_source_tweet_id,entities.cashtags,location,username,name,brand,geo.place_id,attachments.poll_ids,withheld.country_codes,geo.coordinates.type,geo.coordinates.coordinates,is_about_brand,confidence,rationale
2025-02-10T03:16:57.000Z,"RT @patriotslatam: Sólo hay uno como ÉL.

Abrazo. 

@TomBrady https://t.co/hWzRMie4I1",1888789225308409951,everyone,['1888789225308409951'],es,"[{'type': 'retweeted', 'id': '1888782268186890296'}]",FALSE,1888789225308409951,206743570,"[{'start': 37, 'end': 38, 'probability': 0.572, 'type': 'Person', 'normalized_text': 'ÉL'}]","[{'start': 3, 'end': 17, 'username': 'patriotslatam', 'id': '1376346231790833671'}, {'start': 52, 'end': 61, 'username': 'TomBrady', 'id': '1108050829393707008'}]",394,0,0,0,0,0,5,FALSE,2025-02-10T04:16:57.000Z,"[{'start': 62, 'end': 85, 'url': 'https://t.co/hWzRMie4I1', 'expanded_url': 'https://x.com/patriotslatam/status/1888782268186890296/photo/1', 'display_url': 'pic.x.com/hWzRMie4I1', 'media_key': '3_1888782262306516992'}]",['3_1888782262306516992'],,,['1888782268186890296'],,,juanmelriv,|| •)🇮🇩 Juan P Melo,Dunkin',,,,,,False,1.0,Tweet is a retweet about Tom Brady with no mention of Dunkin.
2025-02-10T03:16:49.000Z,"RT @patriotslatam: Sólo hay uno como ÉL.

Abrazo. 

@TomBrady https://t.co/hWzRMie4I1",1888789188876894329,everyone,['1888789188876894329'],es,"[{'type': 'retweeted', 'id': '1888782268186890296'}]",FALSE,1888789188876894329,282285390,"[{'start': 37, 'end': 38, 'probability': 0.572, 'type': 'Person', 'normalized_text': 'ÉL'}]","[{'start': 3, 'end': 17, 'username': 'patriotslatam', 'id': '1376346231790833671'}, {'start': 52, 'end': 61, 'username': 'TomBrady', 'id': '1108050829393707008'}]",394,0,0,0,0,0,5,FALSE,2025-02-10T04:16:49.000Z,"[{'start': 62, 'end': 85, 'url': 'https://t.co/hWzRMie4I1', 'expanded_url': 'https://x.com/patriotslatam/status/1888782268186890296/photo/1', 'display_url': 'pic.x.com/hWzRMie4I1', 'media_key': '3_1888782262306516992'}]",['3_1888782262306516992'],,,['1888782268186890296'],,BIEBERLANDIA♡,Camila110598,Camm♡,Dunkin',,,,,,False,1.0,Tweet is a retweet about Tom Brady with no mention of Dunkin.
2025-02-10T03:16:48.000Z,"THE ONLY GOAT. 🐐 @TomBrady

#SuperBowl https://t.co/jdX3M0GH4v",1888789186284503124,everyone,['1888789186284503124'],en,,FALSE,1888789186284503124,246885450,"[{'start': 29, 'end': 37, 'probability': 0.9418, 'type': 'Other', 'normalized_text': 'SuperBowl'}]","[{'start': 17, 'end': 26, 'username': 'TomBrady', 'id': '1108050829393707008'}]",1,0,3,0,0,427,5,TRUE,2025-02-10T04:16:48.000Z,"[{'start': 39, 'end': 62, 'url': 'https://t.co/jdX3M0GH4v', 'expanded_url': 'https://x.com/SevazCFM/status/1888789186284503124/photo/1', 'display_url': 'pic.x.com/jdX3M0GH4v', 'media_key': '16_1888789179393257472'}]",['16_1888789179393257472'],"[{'start': 28, 'end': 38, 'tag': 'SuperBowl'}]",,,,"Monterrey, Nuevo León",SevazCFM,Sebastián,Dunkin',b19e24ce42ccd6aa,,,,,False,1.0,"Tweet praises Tom Brady as GOAT with SuperBowl hashtag, no Dunkin mention."
2025-02-10T03:16:46.000Z,I love you @TomBrady,1888789179074793761,everyone,['1888789179074793761'],en,,FALSE,1888789179074793761,1921582838,,"[{'start': 11, 'end': 20, 'username': 'TomBrady', 'id': '1108050829393707008'}]",0,0,0,0,0,8,5,TRUE,2025-02-10T04:16:46.000Z,,,,,,,"Detroit, MI",Vince_4L,Harvey Dent,Dunkin',,,,,,False,1.0,"Simple expression of love for Tom Brady, no Dunkin."
2025-02-10T03:16:46.000Z,I love you @TomBrady,1888789179074793761,everyone,['1888789179074793761'],en,,FALSE,1888789179074793761,1921582838,,"[{'start': 11, 'end': 20, 'username': 'TomBrady', 'id': '1108050829393707008'}]",0,0,0,0,0,8,5,TRUE,2025-02-10T04:16:46.000Z,,,,,,,"Detroit, MI",Vince_4L,Harvey Dent,Dunkin',,,,,,False,1.0,"Duplicate of tweet 4, no Dunkin."
2025-02-10T03:16:45.000Z,"RT @billboard: Ben Affleck Brings Back the DunKings With a Lineup That Includes an NKOTB Member for Dunkin’ Super Bowl Ad
https://t.co/N2d8…",1888789174926319942,everyone,['1888789174926319942'],en,"[{'type': 'retweeted', 'id': '1888737296708472976'}]",FALSE,1888789174926319942,30152016,"[{'start': 15, 'end': 25, 'probability': 0.9592, 'type': 'Person', 'normalized_text': 'Ben Affleck'}, {'start': 83, 'end': 87, 'probability': 0.5944, 'type': 'Organization', 'normalized_text': 'NKOTB'}, {'start': 100, 'end': 105, 'probability': 0.3677, 'type': 'Other', 'normalized_text': 'Dunkin'}, {'start': 108, 'end': 117, 'probability': 0.699, 'type': 'Other', 'normalized_text': 'Super Bowl'}]","[{'start': 3, 'end': 13, 'username': 'billboard', 'id': '9695312'}]",44,0,0,0,0,0,5,FALSE,2025-02-10T04:16:45.000Z,,,,,,,Chi-town,sweetsmckenna,lisa stites,Dunkin',,,,,,True,1.0,Retweet explicitly mentions 'Dunkin’ Super Bowl Ad' and DunKings.
2025-02-10T03:16:45.000Z,"RT @NFLFilms: .@TomBrady taking a nap less than an hour before his first Super Bowl is wild 😂

The Madden Cruiser Tour: A Bayou Adventure w…",1888789173286343034,everyone,['1888789173286343034'],en,"[{'type': 'retweeted', 'id': '1888608193510551600'}]",FALSE,1888789173286343034,1054069129966243840,"[{'start': 73, 'end': 82, 'probability': 0.9337, 'type': 'Other', 'normalized_text': 'Super Bowl'}, {'start': 95, 'end': 136, 'probability': 0.7901, 'type': 'Other', 'normalized_text': 'The Madden Cruiser Tour: A Bayou Adventure'}]","[{'start': 3, 'end': 12, 'username': 'NFLFilms', 'id': '81111260'}, {'start': 15, 'end': 24, 'username': 'TomBrady', 'id': '1108050829393707008'}]",117,0,0,0,0,0,5,FALSE,2025-02-10T04:16:45.000Z,,,,,,,United Kingdom,ElliottEdward18,Elliott Edwards,Dunkin',,,,,,False,1.0,"Retweet about Tom Brady napping before Super Bowl, no Dunkin."
2025-02-10T03:16:43.000Z,"Not everyone can be this 
@TomBrady you fucking legend ♥️ https://t.co/ksrKVFwCxO https://t.co/jwcxHP2TJX",1888789164579328429,everyone,['1888789164579328429'],en,"[{'type': 'quoted', 'id': '1888780677295853663'}]",FALSE,1888789164579328429,4668028074,,"[{'start': 26, 'end': 35, 'username': 'TomBrady', 'id': '1108050829393707008'}]",0,2,4,0,0,505,5,TRUE,2025-02-10T04:16:43.000Z,"[{'start': 58, 'end': 81, 'url': 'https://t.co/ksrKVFwCxO', 'expanded_url': 'https://x.com/Utd_max13/status/1888789164579328429/photo/1', 'display_url': 'pic.x.com/ksrKVFwCxO', 'media_key': '3_1888789162310119424'}, {'start': 82, 'end': 105, 'url': 'https://t.co/jwcxHP2TJX', 'expanded_url': 'https://twitter.com/joshhart/status/1888780677295853663', 'display_url': 'x.com/joshhart/statu…'}]",['3_1888789162310119424'],,,,,"Fairfield, CT",Utd_max13,Bleh,Dunkin',,,,,,False,1.0,"Praises Tom Brady as legend, no Dunkin."
2025-02-10T03:16:43.000Z,"Not everyone can be this 
@TomBrady you fucking legend ♥️ https://t.co/ksrKVFwCxO https://t.co/jwcxHP2TJX",1888789164579328429,everyone,['1888789164579328429'],en,"[{'type': 'quoted', 'id': '1888780677295853663'}]",FALSE,1888789164579328429,4668028074,,"[{'start': 26, 'end': 35, 'username': 'TomBrady', 'id': '1108050829393707008'}]",0,2,4,0,0,505,5,TRUE,2025-02-10T04:16:43.000Z,"[{'start': 58, 'end': 81, 'url': 'https://t.co/ksrKVFwCxO', 'expanded_url': 'https://x.com/Utd_max13/status/1888789164579328429/photo/1', 'display_url': 'pic.x.com/ksrKVFwCxO', 'media_key': '3_1888789162310119424'}, {'start': 82, 'end': 105, 'url': 'https://t.co/jwcxHP2TJX', 'expanded_url': 'https://twitter.com/joshhart/status/1888780677295853663', 'display_url': 'x.com/joshhart/statu…'}]",['3_1888789162310119424'],,,,,"Fairfield, CT",Utd_max13,Bleh,Dunkin',,,,,,False,1.0,"Duplicate of tweet 8, no Dunkin."
2025-02-10T03:16:40.000Z,"RT @outbreakupdates: About two million baked goods, including some doughnuts and coffee rolls sold at Dunkin’, are recalled over concerns o…",1888789153451491386,everyone,['1888789153451491386'],en,"[{'type': 'retweeted', 'id': '1888693279698616828'}]",FALSE,1888789153451491386,3184771733,"[{'start': 102, 'end': 107, 'probability': 0.6806, 'type': 'Place', 'normalized_text': 'Dunkin'}]","[{'start': 3, 'end': 19, 'username': 'outbreakupdates', 'id': '1594033745849450497'}]",1247,0,0,0,0,0,5,FALSE,2025-02-10T04:16:40.000Z,,,,,,,,Superwhitecat15,whitecat2015 ⁷ 🧋☕🌟,Dunkin',,,,,,True,1.0,Retweet about recall of baked goods sold at Dunkin’.
